,total_billions,records_with_amount,records_null_amount,percent_documented
Apple,609.1,14.0,8.0,63.6
Amazon,268.44,24.0,4.0,85.7
Meta,220.28,14.0,8.0,63.6
Microsoft,154.75,19.0,3.0,86.4
Alphabet,117.42,15.0,8.0,65.2
Tesla,30.63,10.0,6.0,62.5
NVIDIA,22.9,12.0,5.0,70.6
